Part Number,Model,Description,QTY
NS00660,PM7077,Thermostat (180),0
PM7077.timer,PM7077,Timer,0
NS00662,PM7077,Turntable coupler,0
NS00663,PM7077,Turntable Motor,0
NS00664,PM7078,Capacitor,0
NS00666,PM7078,Cooling Fan Motor,0
NS00667,PM7078,Glass Tray,0
NS00668,PM7078,High Voltage Transformer,0
NS00669,PM7078,Lamp With Socket,0
NS00670,PM7078,Magnetron,0
NS00665,PM7078,Microwave Fan Blade,0
PM7078.C17,PM7078,Power Control Board,0
NS00661,PM7078,Power Control Board,0
NS00671,PM7078,Power Control Board,0
NS00672,PM7078,Power Cord Cable ( Power Supply Plug ),0
NS00673,PM7078,Splash Shield Mica Sheer,0
NS00674,PM7078,Thermostat,0
NS00675,PM7078,Turntable coupler,0
NS00676,PMC156,Chopper Blade,0
NS00677,PMC156,Gear #1,0
NS00678,PMC156,Gear #2,0
NS00679,PMC156B,Blade Assembly,0
NS00680,PMC156B,Chopper Blade,0
NS01078,PMC156B,Cup,0
NS00681,PMC156B,Driving Gear,0
NS00682,PMC156B,Fuse,0
NS00683,PMC156B,Gear,0
NS00684,PMC156B,Motor,0
NS00685,PMC156B,Switch,0
NS00686,PMC599B,Heating Element,0
NS01059,PPC1047,G.box,0
NS01053,PPC1047,Regulator,0
NS00921,PPC1058D,Adaptor,0
NS00077,PPC1058D,Bottom heater,0
NS00079,PPC1058D,Bottom heating attachment ,0
NS00070,PPC1058D,Control Panel,0
NS00105,PPC1058D,Cover upper,0
NS00922,PPC1058D,Fuse,0
NS00923,PPC1058D,Handle of gift box,0
NS01031,PPC1058D,Heating Plate,0
NS00074,PPC1058D,Power Control Board,0
NS00158,PPC1058D,Power Cord Cable ( Power Supply Plug ),0
NS00925,PPC1058D,Pressure switch ,0
NS00080,PPC1058D,Screws (bottom heating attachment),0
NS00926,PPC1058D,Sensors,0
NS00082,PPC1058D,Weight Valve Assy,1
NS00927,PPC1097,Gasket,0
NS00210,PPN20,Bottom housing,0
NS00928,PPN20,Oil Tray,0
NS00929,PPN21,Bottom Housing ,0
NS01165,PPN21,Down Plate Assembly with Heating elements,0
NS00930,PPN21,Internal Wire,0
NS01167,PPN21,Oil Tray,0
NS00931,PPN21,Upper Housing ,0
NS01166,PPN21,Upper Plate Assembly with Heating elements,0
NS01383,PRC0635B,"Lids (6 1/2 "" Diameter) [Grey Handle] - 6 Cups Lid",0
NS00932,PRC1238,"Lids (7 1/2 "" Diameter) [Grey Handle] - 12 Cups Lid",0
NS00934,PRC1238,Microswitch,0
NS00935,PRC1238,Thermofuse,0
NS00936,PRC1238,Thermostat,0
NS00937,PRC1547,Central Thermostat,0
NS00938,PRC1547,Thermofuse,0
NS00939,PRC1838R,Microswitch,0
30903600084,PRC7900DR,Switch Assembly,0
NS01269,PRE2023GS,Anti-Tip Chain,0
NS00336,PRE2025GW,Splash Assy [(Water Baffle/Splash Board/Backsplash) + Top Plate + Screws ],0
362281019,PRE2026GS,14# Thermostat Knob,14
3320874,PRE2026GS,Glass Ceramics,1
221623104023,PRE2026GS,Hob Board Assembly,1
221623109006,PRE2026GS,Metal Door Assembly,0
365623001,PRE2026GS,Gasket Seal,5
221201104018,PRE2026GS,Splash-proof welding assembly ,4
221763104037,PRE2426GS,Drawer Assembly ,1
221763104039,PRE2426GS,Hob Board Assembly,0
221763109009,PRE2426GS,Metal Door Assembly,0
NS01338,PRE2426GS,Relay,0
365241003,PRE2426GS,Gasket Seal,5
3320870,PRE2426GS ,Glass Ceramic,0
211241104023,PRE2426GS ,Working  Table,0
NS00017,PRF,Cooling Fan Mortor (IGE12038H),0
NS00401,PRF125DX,Clip for Decorative Pannel ,0
NS00324,PRF125DX,Fan Blade,0
1.03.01.01.636,PRF125DX / PRF1257DX [2020-10 to 2021-04] ,Compressor (LZ43XU1) Compatible with 1.03.01.01.385,0
1.05.21.01.084,PRF155DX/PRF1557DX,Condenser,0
NS01040,PRF155DX / PRF1557DX,Door Handle Cover,0
12131000004323,PRF24600MS,Drain Tray,0
12931000000244,PRF24600MS,Steel Column Strip,0
12931000000011,PRF24600MS,Steel wire shelf of Ref,0
12931000000135,PRF24600MS ,Steel wire shelf of Ref,0
15731000003284,PRF24600MS / PRF24600MS,Evaporator,0
12131000000061,PRF31500MW / PRF31600MS,Fruit and vegetables box,0
12931000000214,PRF31500MW / PRF31600MS,Steel column strip,0
20120020226,PRF315300HB/PRF315300HW/PRF316300HS/PRF44660300HS/PRF44550300HW,Shelf of refrigerator,0
30406000005,PRF315300HW,Process tube,0
20122990039,PRF315300HW  /  PRF316300HS,Drain Pan,0
12131000004982,PRF31600MS,Hinge cover,0
12131000006946,PRF31600MS,Lower hinge,0
12131000006981,PRF31600MS,Lower hinge,0
12131000010704,PRF31600MS,Upper hinge,0
12931000000230,"PRF31600MS / 	PRF31500MW ",Steel Column Strip,0
12931000000238,PRF31600MS / PRF31500MW ,Steel column strip,0
12931000000241,PRF31600MS/PRF315 / PRF316,Zip Top Can Steel Bar,0
173031500044,PRF316300HS,Lower Door Bar,0
12131000004976,PRF33600MS / PRF24600MS,Hinge cover,0
12231000006736,PRF33600MS / PRF33500MW / PRF24600MS,Drain Tray,0
12931000000234,PRF3PRF31600MS / PRF31500MW / PRF31500MW1600MS,Zip-top can steel bar,0
NS00967,PRF40DX,Thermostat,0
12131000004357,PRF44600MS / 44500MW,Drain Tray,0
12931000000197,PRF44600MS / 44500MW,Steel Column Strip,0
12931000000222,PRF44600MS / 44500MW,Steel Column Strip,0
12931000000233,PRF44600MS / 44500MW,Steel Column Strip,0
12931000000085,PRF44600MS / 44500MW,Steel Wire Shelf Of Refrigerator,0
12131000004772,PRF44600MS / PRBD496MS,Drain Tray,0
12131000002949,PRF44600MS / PRF33600MS / PRF1660MS / PRF1660MS,Insert pin,0
12131000018391,PRF44600MS / PRF44500MW,Small door,0
17431000001375,PRF44600MS/ PWM1020PX / PRF24600MS,Temperature controller,0
12231000006962,PRF44600MS/44500MW,Lower Hinge,0
12131000006339,PRF44600MS/44500MW/24600MS,Right Holder,0
12131000006432,PRF44600MS/PRF44500MW,Left Holder,0
20120030095,PRF446300HS,Cover of Crisper Drawer,0
20120020181,PRF446300HS,Shelf of refrigerator,0
2208300091,PRF446300HS/ DF1-15N,Door of Freeze Chamber,0
12231000007010,PRF7160MS / PRN10055MW / PRN10066MS,Middle Hinge Assembly,0
12231000007144,PRF7160MS / PRN10055MW / PRN10066MS,Upper Hinge,0
2100151342,PRF736HS,Door Upper,0
NS00286,PRF7370HB,Bootom lower door plastic shelf,0
3059900015,PRF737HB,Door Switch,0
3050500007,PRF737HB,Lamp Bulb (1.5 cm Socket),0
NS00355,PRF766HS,Shelf bigger upper,0
1.05.21.02.010,PRF90DX/PRF125DX/PRF155DX/PRF907DX/PRF1257DX,Condenser Coil,0
1.01.02.01.060R,PRFIM1256DX / PRFIM1257DX ,Connector on Water Pipe,0
3.5.2.02.0869,PRFIM1256DX /PRFIM1257DX,Electronic Control Box Subassembly,0
NS01306,PRFIM1257DX,Light Box Bottom Frame Black,0
NS01304,PRFIM1257DX,Light Box Left Right Frame Black,0
NS01305,PRFIM1257DX,Light Box Top Frame Black,0
12931000000227,PRF31600MS / PRF31500MW / PRF31600MS,Steel column strip,0
12131000023762,PRN10055MW,End Cap,0
12131000014239,PRN10055MW,Freezer Door Assembly,0
12131000035735,PRN10055MW,Hinge Cover,0
12831000036175,PRN10055MW,Refrigerator Door Assembly,0
12131000014223,PRN10055MW,Right Door Seal Assy,0
11002015005841,PRN10055MW / PRN10066MS,Double Door,0
12131000074947,PRN10055MW / PRN10066MS,Drain Tray,0
11303305000004,PRN10055MW / PRN10066MS / PRF44600MS / PWC456MS / PWC346MS / PRF33600MS,Tapping locking screw,0
12131000015703,PRN10066MS,Freezer Door Seal Assembly,0
12131000015702,PRN10066MS,Refrigerator Door Assembly,0
16031000017243,PRN10066MS / PRN10055MW,Display Control Panel,0
12231000042344,PRN10066MS / PRN10055MW,Drain Tray,0
12131000074946,PRN10066MS / PRN10055MW,Freezer Large Tray,0
12131000074945,PRN10066MS / PRN10055MW,Fruits And Veggies Box,0
12531000013698,PRN10066MS / PRN10055MW,Glass Shelf,0
12131000074949,PRN10066MS / PRN10055MW,Right Large Tray,0
12131000005665,PRN10066MS / PRN10055MW / PRF7160MS,Large Tray,0
17131000000175,PRN12150MW,Main Control Board,0
12531000001305,PRN12150MW / PRN10050MW ,Cover of Crisper Drawer,0
12131000000127,PRN12150MW / PRN12150MW,Crisper Drawer,0
12131000003326,"PRN12150MW / PRN12150MW / 	PRN12160MS / PRN12160MS",Door lock assist ,0
12531000001052,PRN12160MS,R glass shelf assembly ,0
12131000004278,PRN12160MS / PRN12150MW,Drain Tray,0
17431000000379,"PRN12160MS / PRN12150MW / 	PRN12160MS",Door light switch,0
PRN12250HW.3,PRN12250HW,Connecting wire of temp sensor,0
NS01289,PRN12250HW,Cover Rack Upper ,0
NS01290,PRN12250HW,Door Rack Upper,0
PRN12250HW.65,PRN12250HW,Drain Pan - Drip tray ,0
PRN12250HW.5,PRN12250HW,Fin evaporator,0
3050200095,PRN12250HW/PRN12260HS/PRF315300HW/PRF316300HS/PRF44660300HS/PRF44550300HW/PRF446300HS/PFR87300HM/PRN7106HS/PRN7105HW/PRN7106HS/PRN7105HW/PRF7350HW/PRF7360HS/PRF7370HB/PRN7005HW/PRN7006HS/PRN10150HW/PRN10160HS,Earthing wire of compressor,0
NS01292,PRN12260HS,Door Hinge Lower (Left),0
NS01291,PRN12260HS,Door Hinge Lower (Right),0
2100290830,PRN14860HS,Lower Door,0
NS00033,PRN165DX,"Decorative Panel 33.5"" Assy (Complete panel with 2 cover corners)",0
1.03.95.10.235,PRN165DX/PRN1651DX/PRN185DX,Racks,0
6.03.01.370,PRN210DX/ PFR1090G / PRFIM1256DX / PRFIM1257DX / PFR12401G,Compressor (LZ72XU) / (LZ72XU1) (Recommended sell with capacitor),17
6.03.01.370,PRN210DX/ PFR1090G / PRFIM1256DX / PRFIM1257DX / PFR12401G,Compressor (LZ72XU) / (LZ72XU1) (Recommended sell with capacitor),18
6.03.01.370,PRN210DX/ PFR1090G / PRFIM1256DX / PRFIM1257DX / PFR12401G,Compressor (LZ72XU) / (LZ72XU1) (Recommended sell with capacitor),14
17431000001249,PRN12160MS / FV1375MW,Capacitor,10
CBB65-12UF,PRN165DX & PRN185DX & PFR920G & PFR950G [2021-09 Down (Old Models)] / PRN210DX  / PFR1090G ,Run Capacitor 12 UF [Small] (White) [2 Pins] (REQUIRE to add a Start Capacitor),0
1.01.11.454,PRN165DX,"Cooling Fan Bottom (motor+large mount 9 3/4"") No Connector (Condenser) ",12
1.01.11.175,PRN165DX / PRN210DX / PRN290DX,Cooling Fan Assy - Top [Evaporator]w/Conector-  Motor(ZYD-2J-22 )+very small mount no round ) [Flower Shape],7
NS00034,PRN185DX  / PRN210DX,"Decorative Panel 35 1/4""  (Complete with cover corners)(Old Design)",5
NS01367,PRN185DX,Evaporator Fan Cover,0
NS01297,PRN185DX,"Light Box Assembly (39 1/2 "")[Old Design]",0
NS00377,PRN185DX,Top Fan shield Panel with 2 Round Motor Cover,0
3.7.13.793,PRN185DX  (Part number to confirm),Decorative Panel Assy (Old Design] ,0
NS01034,PRN185DX / PRN210DX,"[Light Box - Lamp Box] Top Cover Frame (39 1/2 "")[New Model] ",0
NS01314,PRN20050AW,Bottorm Handle Cover,0
NS01312,PRN20050AW,Door Handle Seat,0
NS01313,PRN20050AW,Top Handle Cover,0
1293100000579,PRN2106MF,Slide Rail 1,0
1293100000587,PRN2106MF,Slide Rail 2,0
12131000022081,PRN4560MS / PRN4550MW / PRN10055MW / PRN10066MS,Drain Tray,0
17431000002601,PRN500MS / PRN400MS / PRN10055MW / PRN10066MS,LED Lamp,0
PRN50G.Condenser fan motor,PRN50G,Cooling Fan Motor [Condenser],0
PRN50G.Drier filter,PRN50G,Dryer Filter,0
2207400364,PRN7006HS,Front Cover Freezer,0
2207501174,PRN7006HS / PRN7005HW,Freezer Door Rack,0
3039900194,PRN7006HS / PRN7005HW / PRF735HW / PRF737HB / PRF736HS / PRN10150HW / PRN10160HS,Metal Gasket Small,0
6.03.01.609,PRNS1057DX,Compressor,0
1.02.61.908,PRNS1057DX,Door Gasket (56 1/4 x 21 1/2),0
NS01374,PRNS1057DX,Front Cover Bottom (Decorative Panel Bottom),0
1.03.68.1340,PRNS1057DX,"Glass Door (58 1/4 x 22 3/4"")",0
NS01330,PRNS507DX,Caster Wheel,0
6.03.01.610,PRNS507DX,Compressor,0
1.02.61.906,PRNS507DX,Door Gasket,0
NS01375,PRNS507DX,Front Cover Bottom (Decorative Panel Bottom),0
1.03.68.1339,PRNS757DX,"Glass Door (49"" x 21 1/2"") ",0
1.03.68.1338,PRNS507DX,"Glass Door (43 1/2"" x 16 1/2"")[Gasket included]",1
NS01331,PRNS507DX,Caster Wheel,0
1.02.69.419,PRNS507DX,Upper Glass Door,0
1.02.50.1333,PRNS507DX,Water Storage Box,0
NS01311,PRNS507DX / PRNS757DX / PRNS1057DX,LED Light,0
1.02.75.017,PRNS507DX/PRNS757DX/PRNS1057DX,Caster Wheel,0
6.03.01.611,PRNS757DX,Compressor,0
NS01369,PRNS757DX,Decorative Panel,0
1.02.61.907,PRNS757DX,Door Gasket,0
1.02.33.116,PRNS757DX/PRNS507DX/PRNS1057DX,Knob,0
NS00975,PSC375,Ceramic Pot,0
NS00976,PSM300,Dough Hook,0
NS00977,PSM301,Knob of Change,0
NS00978,PSM302,Mixed Bar,0
NS00979,PSM303,Microswitch,0
NS00980,PSM304,Motor,0
NS00981,PSM305,Switch Board,0
NS00154,PT191,Complete Door Assembly,0
NS00156,PT191,Food Tray,0
NS00153,PT191,Heating Element,0
NS00155,PT191,Switch,0
NS01196,PT2205S,Carriage Handle ,0
NS01193,PT2205S,Power Control Board,0
NS01198,PT2205S,Crumb Tray,0
NS01199,PT2205S,Crumb Tray Handle ,0
NS01223,PT2205S,Gift Box,0
NS01195,PT2205S,knob,0
NS01197,PT2205S,Magnetic Switch asm,0
NS01194,PT2205S,Press key,0
NS01220,PT231,Crumb Tray,0
NS01219,PT231,Crumb Tray Handle ,0
NS01224,PT231,Gift Box,0
NS01217,PT231,knob,0
NS01222,PT231,Power Cord Cable ( Power Supply Plug ),0
NS01218,PT231,Press key,0
NS01221,PT231,Switch Asm ,0
NS01229,PT231B,Crumb Tray,0
NS01228,PT231B,Crumb Tray Handle ,0
NS01225,PT231B,Gift Box,0
NS01226,PT231B,knob,0
NS01231,PT231B,Power Cord Cable ( Power Supply Plug ),0
NS01227,PT231B,Press key,0
NS01230,PT231B,Switch Asm ,0
PTK5156.25,PTK5156,Controller down part,0
PTK5156.18,PTK5156,Controller up part,0
PTK5156.Filter,PTK5156,Filter,0
PTK5156.32,PTK5156,Steam switch,0
NS00097,PTO101,Door Handle,10
NS00100,PTO101,Adjustable Foot Leg - Feet Support ,10
NS00120,PTO101,Glass Door,10
NS00098,PTO101,Heating Element,10
NS00099,PTO101,Knob,10
NS00096,PTO101,Manual,0
NS00102,PTO101,Thermostat,10
NS00101,PTO101,Timer,10
NS01274,PTO142,Brake Tray,0
211143202022,PTO191,Bake Tray,0
NS00982,PTO191,Door Handle,0
211143207001,PTO191,Enamel Pan,0
NS00983,PTO191,Grill,0
NS00984,PTO191,Knob switch,0
NS00985,PTO191,Power Cord Cable ( Power Supply Plug ),0
12231000006997,PWC147MB / PWC346MS,Lower hinge,0
NS00687,PWC205T,Bottle Supporter,0
NS00690,PWC205T,Drip Tray,0
NS00691,PWC205T,Feed Probe,0
1.05.13.616.350,PWC205T,Tap Assembly (Cold/Hot water tap) [White inside part],50
NS00692,PWC205T,Button - Left Key Press (Hot Water) [Red],4
NS00695,PWC215T,Bottle Supporter,0
NS01008,PWC215T,Cold Tank Lid Cover,0
NS01011,PWC215T,Feed Probe,0
NS01012,PWC215T,Nozzles P23,0
1.05.13.105.004,PWC216T,Cold Tank Lid Cover,0
NS00256,PWC216T,Conector Pipe,0
NS00700,PWC216T,Power Control Board Cabinet,0
NS00277,PWC216T,Pipe,0
NS00280,PWC216T,Power Control Board,0
NS00701,PWC216T,Suction Pipe,0
NS00702,PWC216T,Water Line,0
PWC216T.Suction Pipe,PWC216T,Water suction pipe assy,0
6.05.12.139.003,PWC216T / PWC215T,Water Pump,0
17431000000136,PWC345 / PWC346,LED Lamp,0
12131000010001,PWC346MS,Door seal assembly,0
12931000000274,PWC346MS,Wine Shelf,0
12931000000286,PWC346MS,Wine shelf,0
12131000004272,"PWC346MS / 	PRF31600MS",Drain Tray,0
12131000005132,PWC346MS / PWC147MB,Hinge cover,0
15733000000262,PWC346MS / PWC346MS,Ref. Expanding Evaporator,0
623051000027,PWC337KB/PWC436KS/PWC946KS,Upper hinge ,15
12931000000540,PWC456MS,Door handle of refrigerator,0
12131000010672,PWC456MS,Door seal assembly,0
11002015001680,PWC456MS,Cooling Fan Motor,0
12231000032628,PWC456MS,Lower hinge,0
12231000007067,PWC456MS,Top hinge assy,0
12831000009185,PWC456MS,Wooden wine basket,0
12831000005612,PWC456MS,Wooden Wine Shelf,0
12131000000999,PWC456MS / PWC346MS,Adjustable Foot Leg - Feet Support ,0
12131000004317,PWC456MS / PWC346MS / PWC147MB,Drain Tray,0
12131000004984,PWC456MS / PWC456MS,Hinge cover,0
12931000000609,PWC456MS / PWC456MS / PWC456MS,Handle fixed axis,0
17131000000440,"PWC456MS	",Main Control Board,0
NS00987,PWM1020PX,Gasket,0
A0027L04BDP00,PWM1020PX,Gasket for pulsator,0
A0095L060PW0C,PWM1020PX,Seal below,0
NS00988,PWM1020PX,Seal Below,0
12131000006211,PWM1020PX,Shaft Sleeve,0
A0000LI5J0035,PWM1020PX,Speed Reducer,0
A0000L15JSQ03,PWM1020PX,Speed reducer ,0
A2315Y07TDS08,PWM1020PX,Spin timer,0
NS00989,PWM1020PX,Spin Timer,0
A002KD110TH00,PWM1020PX,Spring assembly,0
NS00990,PWM1020PX,Spring Assembly,0
A0000M05XCD0X,PWM1020PX,Underlay for motor,0
A000M05XCD0X,PWM1020PX,Underlay for motor,0
NS00991,PWM1020PX,Underlay for Motor,0
A0160D03XDJ14,PWM1020PX,Wash motor,0
NS00992,PWM1020PX,Wash Motor,0
A2501Y05XDSJ4,PWM1020PX,Wash timer,0
NS00993,PWM1020PX,Wash Timer,0
NS00994,PWM1020PX,Water Pump,0
NS00995,PWM1220PX,Drain Hose,0
NS00996,PWM1220PX,Drain Pump,0
NS01003,PWM1220PX,Water Inlet Hose,0
3F5889779,PWM2010PX,Spin motor,0
PWM6020X.Speed reducer,PWM6020X,Speed reducer,0
PWM6020X.Spin timer,PWM6020X,Spin timer,0
NS01063,SAR150,Inner pot,0
SSD23B.Heating element & plate,SSD23B,Heating element & plate,0
SSD23B.Upper bake light cover,SSD23B,Upper bake light cover,0
12156000000964,SV1630,Base,0
12156000A18221,SV1630,Front grill,0
NS01376,PWC216T,Water Bottle tray with wheels ,0
3031500055,PRF3163300HS/PRF315300HW/PRF316300HS,Can Rack,5
2400100162,PRF446300HS,Compressor (QD3511Y-A),2
2200200180,PRF7350HW,Door Gasket Lower,3
2200200179,PRF7350HW,Door Gasket Upper,3
2100152756,PRF7350HW,Lower Door,2
2106100548,PRF7350HW/PRF7360BS/PRF7350HW/PRF7360BS/PRF7360HS/PRF7370HB,Shelf of Refrigerate Chamber,5
20122050479,PRF7370HB/PRF7360HS/PRF7370HB/PRF7360HS/PRF7350HW,Door Rack Lower,2
2100290631,PRN10160HS,Door Lower,2
2100290630,PRN10160HS,Door Upper (with interior White and Border & Gasket  BLACK),1
3031400040,PRN10160HS/PRN12260HS/PRN10160HS/PRN12260HS/PRN10150HW/PRN12250HW,Door Hinge Middle,10
2301400064,PRN12250HW / PRN12260HS,Cover Door Hinge Assy Ring (Lower),8
2301400155,PRN12260HS/PRN10150HW/PRN10160HS/PRN12250HW,Upper Door hinge,10
2107100003,PRN7005HW / PRN7006HS,Compressor Base Support,24
2500700021,PRN7005HW / PRN7006HS,Defrost heater,23
1.05.35.03.108,PRF1654COXW/PRF165400XW/PRF167400XB,Door Gasket,5
1.05.35.03.107,PRF166400XS/PRF166400XS,Door Gasket,5
3.2.05.0.052,PRF255400XW/PRF257400XB,Door,4
1.05.35.03.110,PRF255-400XW/PRF255400XW/PRF257400XB,Door Gasket,5
3.2.05.2.01.0601,PRF256400XS,Door,4
1.05.35.03.109,PRF256400XS,Door Gasket,5
3.2.05.2.01.0817,PRF257400XB,Door,4
3.2.05.2.01.0784,PRF32405XS/PRF32406XS,Door,2
3.2.05.1.405,PRF32405XW,Door,2
2201501334,PRN10160HS,Door Rack Lower,4
2207501333,PRN1060HS/PRN12250HW/PRN1060HS/PRN12250HW/PRN10150HW/PRN10160HS/PRN12260HS,Door Rack Midle ,6
2207501334,PRN12250HS/PRN12260HS/PRN10150HW/PRN10160HS/PRN12250HW,Door Rack Lower,3
2207501335,PRN12250HW/PRN10160H5/PRN12250HW/PRN10160H5/PRN10150HW/PRN10160HS/PRN12260HS,Door Rack Freezer,2
2207501858,PRN12260/PRN12260/PRN12250HW/PRN12260HS,Bottom Balcony Cover,2
2208100713,PRN14860,Adjustable Foot Leg - Feet Support (Short),10
20122990727,PRN14860/PRN10160HS/PRN12260HS,Adjustable Foot Leg - Feet Support (Short),10
2208100674,PRN14860,Upper Door  Hinge Right ,5
2209100054,PRN14860H5/PRN7006HS/PRN10160HS/PRN12260HS,Door cover Lower,10
2209100032,PRN14860HS/PRN7006HS/PRN10160HS/PRN12260HS,Door Cover Upper,10
15831000000016,PRN2116,Evaporator,4
2208100527,PRN7005HW,U.D Hinge Cover Right,5
2301400034,PRN7005HW/PRN7006HS,Lower Door Hinge Assbly,5
2301400035,PRN7005HW/PRN7006HS,Upper Door  Hinge Assbly,5
2207501075,PRN7005HW/PRN7006HS/PRN7005HW/PRN7006HS/PRN7106HS/PRN7105HW/PRN7106HS/PRN7105HW,Door Rack Freezer,2
5542ET,AC UNITS,Cooling Fan Motor ECM (M055TYM0077015B) (Direct Drive Blower),1
17222000011249,PAC12337,Display Box Subassembly,5
NS00796,PCH7704,Charcoal Filter,4
NS00797,PCH7704,Cooling Fan Motor,0
3079900055,PCH7704R,"Aluminum Filter (13 3/4 x 13 1/2"")",10
2040100163,PCH7704R,Cooling Fan Motor,10
3090300084,PCH7704R,LED light,6
30908000024,PCH7704R,LED Light,14
NS00799,PCH7704R,Motor,1
3090100080,PCH7704R,Power Control Board,18
NS00801,PCH7704R,Switch,0
2010102012,PCH7704R,Switch Assembly,9
9040000046,PCH7705CB,GU10 Lamp Holder,0
9040100148,PCH7705CB / PCH9006CB,Motor,8
9040500214,PCH9007CBD,Control Panel,0
17122000010014,PIA9065,Main Control Board Assembly,1
17122000A07041,PIAW121690A,Display Box Subassembly,1
17122000044665,PIAW12690A / PIAW121690A,Main Control Board Subassembly,1
17122000053424,PIAW121700B (New Models From 03/2021),Main Control Board Subassembly,2
17122000029825,PIAW12180B,Electronic Control Box Subassembly,0
11002015008365,PIAW241800B,Brushless DC Motor,12
17122000008206,PIAW36179A / PAC36337,Mandril of Panel,1
17222000035616,PIAW91700B,Electronic Control Box Subassembly,4
2106140502,PRF7350HW/PRF7360HS/PRF7370HB,Crisper Drawer,2
2106120488,PRF7370HB/PRF7350HW/PRF7360HS,Cover of Crisper Drawer,1
2107120044,PRN16950HW,Fridge air duct Assy,3
17222000002837,PAC3003711 / PAC3003711A / PAC33711 / PIAW181790A / PIAW188790A / PIAW248790A,Display Box Subassembly,4
17122000038455,PIAW121650B,Main Control Board Subassembly (Outdoor),9
17122000038455,PIAW121650B,Main Control Board Subassembly (Outdoor),5
17222000034272,PIAW93700B / PIAW92700B / PIAW12166A ,Electronic Control Box Subassembly,0
11002015000051,PIAW98690A / PIAW128790A/PIAWMZ128790A/PIAWMZ98690A/ PIAW121790A / PIAW12166A,Brushless DC Motor,14
17122000A35374,PIAW121800B,Main Control Board Subassembly (Outdoor),6
17222000034709,PIAW12265B,Electronic Control Box Subassembly,5
17222000031279,PIAW12267B,Electronic Control Box Subassembly,1
17122000055270,PIAW122690A,Main Control Board Subassembly,5
17222000037715,PIAW122800B/ PIAW123800B,Electronic Control Box Subassembly,0
17222000035619,PIAW241800B,Electronic Control Box Subassembly,8
11103020000559,PIAW36180B / PIAW363800B,DC Inverter Rotary Compressor (KTF250D22UMT),3
17122000025608,PIAW36180B,Main Control Board Subassembly,6
17122000A13447,PIAW36180B,Main Control Board Subassembly (Outdoor),6
17122000051929,PIAW36182B / PIAW36180B,Main Control Board Subassembly (Outdoor),6
17122000052526,PIAW362790A,Main Control Board Subassembly,6
45000100,PBS764A,Cooktop - Working Table Glass Panel (Vertical Holes),12
45000102,PBS810GA,Cooktop - Working Table - Glass Panel (Horizontal Holes) ,6
45000102,PBS810GA,Cooktop - Working Table - Glass Panel (Horizontal Holes) ,12
13020208,PBS810GA / PBS764A,Cast iron support burner - Wok Burne,14
11000134,PBS810GA / PBS812SA / PBS764A / PBS763A / PBS765A,Gas Valve W/Out FFD,15
502000016,PBS810GA / PBS812SA / PBS764A / PBS763A / PBS765A,Knob Silver,28
11000677,PBS810GA / PBS812SA / PBS764A / PBS763A / PBS765A / PBS762A,"100 / 150 Sparking Ignition (8 1/2"")",28
11000678,PBS810GA / PBS812SA / PBS764A / PBS763A / PBS765A / PBS762A,"300 Sparking Ignition (14 1/8"")",28
11000048,PBS810GA / PBS812SA / PBS764A / PBS763A / PBS765A / PBS762A,"400 Sparking Ignition (18"")",28
12171100001274,PGS2000,Handle Holder,4
12171100000744,PGS2000,Knob (White),20
12171100000681,PGS2000,Knob Base (Silver Chrome),20
NS00560,PPS25,Cover ,10
NS00561,PPS25,Grill,10
NS00573,PPS35,Cover,10
NS00574,PPS35,Grill,10
NS00612,PPS45,Cover,10
NS00613,PPS45,Grill,10
11103020002899,PIAW121650B,Compressor,2
11103020003919,PIAW182800B / PIAW181800B / PIAW183800B / PIAW1831780B,DC Inverter Rotary Compressor (KSN140D21UFZ),1
11103020004360,PIAW241800B,Compressor,2
11103020000179,PIAW24180B / PIAW24099B,Compressor,7
11103020006879,PIAW278800B / PIAW242800B / PIAW1832580B / PIAW2432580B/ PIAWMZ278800B / PIAW243800B,Dc Inverter Rotary Compressor,4
11103020000559,PIAW36180B / PIAW363800B,DC Inverter Rotary Compressor(KTF250D22UMT),4
11103020000319,PIAW36180B / PIAW31180B,Compressor,4
11000003,PBS764A / PBS812SA /PBS763A / PBS762A / PBS765A / PBS810GA,"Cap for Burner D [Small] (Mate)  (2 1/4"")",208
11000009,PBS812SA / PBS810GA,"Cap for Burner B [Large](Mate)(4"") ",78
11000006,PBS764A / PBS812SA /PBS763A / PBS762A / PBS765A / PBS810GA,"Cap for Burner C [Medium](Mate) (Diam: 3"") ",210
11000033,PBS764A / PBS812SA /PBS763A / PBS762A / PBS765A / PBS810GA,"Cap for Burner A Outside [Ring] (Mate) (5 1/8"") ",113
11000032,PBS764A / PBS812SA /PBS763A / PBS762A / PBS765A / PBS810GA,"Cap for Burner A Inside [Concave](Mate) (2 3/8"" ) ",244
11000001,PBS810GA / PBS812SA / PBS762A / PBS763A / PBS764A / PBS765A,"Burner D (Diam: 2"")",208
11000004,PBS810GA / PBS812SA / PBS762A / PBS763A / PBS764A / PBS765A,"Burner C (Diam: 2 3/4"")",214
11000030,PBS810GA / PBS812SA / PBS762A / PBS763A / PBS764A / PBS765A,"Burner A (Diam: 5"") with hole in the middle",242
12571100A00277,PGS2000,Door glass (18 3/4  x  18 1/2 ) ,4
12571100A00277,PGS2000,Door glass (18 3/4  x  18 1/2 ) ,3
