Part Number,Model,Description,QTY
230803343,EAHATN-24 / EAHATN-36 / EAHATN-48 / EAHATN-60 / EAHATN-24B / EAHATN-36B / EAHATN-48B / EAHATN-60B,Electrical Parts Support Board,0
230904221,EAHATN-24 / EAHATN-36 / EAHATN-48 / EAHATN-60 / EAHATN-24B / EAHATN-36B / EAHATN-48B / EAHATN-60B,PCB Assembly,0
230803356,EAHATN-24 / EAHATN-36 / EAHATN-48 / EAHATN-60 / EAHATN-24B / EAHATN-36B / EAHATN-48B / EAHATN-60B,Supporter Assembly I (Drainage pan),0
230803357,EAHATN-24 / EAHATN-36 / EAHATN-48 / EAHATN-60 / EAHATN-24B / EAHATN-36B / EAHATN-48B / EAHATN-60B,Supporter Assembly II (Drainage pan),0
230904118,EAHATN-24 / EAHATN-36 / EAHATN-48 / EAHATN-60 / EAHATN-24B / EAHATN-36B / EAHATN-48B / EAHATN-60B,Transformer,0
10104-100150,EAHATN-24B / EAHATN-36B / EAHATN-48B / EAHATN-60B,Indoor Temperature Sensor Assembly,0
22007-001167,EAHATN-24B / EAHATN-36B / EAHATN-48B / EAHATN-60B,Wiring harness to CN9 of PCB,0
230904148,EAHATN-36 / EAHATN-36B,Brushless DC Motor (22001-000457),0
230803516,EAHATN-36 / EAHATN-36B,Duct Components,0
230803112,EAHATN-36 / EAHATN-48 / EAHATN-60 / EAHATN-36B / EAHATN-48B / EAHATN-60B,"Centrifugal Fan (Entrance size : 13 x 11 1/2"")",0
230803344,EAHATN-48 / EAHATN-60 / EAHATN-48B / EAHATN-60B,Base Assembly,0
230904170,EAHATN-48 / EAHATN-60 / EAHATN-48B / EAHATN-60B,Brushless DC Motor (22001-000458),0
230803352,EAHATN-48 / EAHATN-60 / EAHATN-48B / EAHATN-60B,Cover Board,0
231235612,EAHATN-48 / EAHATN-60 / EAHATN-48B / EAHATN-60B,Distributor Assembly,0
230803347,EAHATN-48 / EAHATN-60 / EAHATN-48B / EAHATN-60B,Downside Board Assembly,0
230701514,EAHATN-48 / EAHATN-60 / EAHATN-48B / EAHATN-60B,"Drainage Pan I (21"" Wide x 23"" Deep)[Plastic Drain Pan]",0
230803363,EAHATN-48 / EAHATN-60 / EAHATN-48B / EAHATN-60B,"Drainage Pan II(20 1/4"" Wide x 13 1/2"" Deep)[Metal Drain Pan]",0
230803340,EAHATN-48 / EAHATN-60 / EAHATN-48B / EAHATN-60B,Duct Components,0
230803354,EAHATN-48 / EAHATN-60 / EAHATN-48B / EAHATN-60B,Electronic Control Cover Plate,0
231235558,EAHATN-48 / EAHATN-60 / EAHATN-48B / EAHATN-60B,"Evaporator Assembly (27 Length x 23 Width x  21"" Height)",0
211240381,EAHATN-48 / EAHATN-60 / EAHATN-48B / EAHATN-60B,"Evaporator Coil (27 Length x 23 Width x  21"" Height)",0
231235559,EAHATN-48 / EAHATN-60 / EAHATN-48B / EAHATN-60B,Input Pipe Assembly (Evaporator),0
231235560,EAHATN-48 / EAHATN-60 / EAHATN-48B / EAHATN-60B,Output Pipe Assembly (Evaporator),0
230803350,EAHATN-48 / EAHATN-60 / EAHATN-48B / EAHATN-60B,Supporter Assembly,0
231235631,EAHATN-48 / EAHATN-60 / EAHATN-48B / EAHATN-60B,Thermostatic Expansion Valve (067L557),0
230803346,EAHATN-48 / EAHATN-60 / EAHATN-48B / EAHATN-60B,Upside Board Assembly,0
230803364,EAHATN-48 / EAHATN-60 / EAHATN-48B / EAHATN-60B,Water Tray Brace,0
231235265,EODA18H-2436,4-Way Valve Assembly,0
231235077,EODA18H-2436,4-Way Valve Body,0
231231468,EODA18H-2436,Block Valve,0
231235530,EODA18H-2436,Compressor(TNB220FLHMC-L),0
231235270,EODA18H-2436,Condenser,0
231235269,EODA18H-2436,Condenser Assembly,0
231235084,EODA18H-2436,Condenser Inlet Pipe Assembly,0
231235085,EODA18H-2436,Condenser Outlet Pipe Assembly,0
230803312,EODA18H-2436,"Electrically ControlLED Mounting Board (18 1/8"")",0
231235157,EODA18H-2436,Electronic Expansion Valve [UKVF25D18] (EEV),0
231235131,EODA18H-2436,High-Pressure Valve Assembly,0
230803138,EODA18H-2436,Lower Side Plate,0
230904156,EODA18H-2436,"MotherBoard Component(9 1/2 x 11 1/2"")",3
230904160,EODA18H-2436,PFC Inductor,0
231235472,EODA18H-2436,Pipe Joint Assembly,0
231236288,EODA18H-2436,Refrigerant Accumulator,0
230803143,EODA18H-2436,"Side Board Assembly [Three lines Hole] (19 3/4 Width x 23"" Length)",0
230803142,EODA18H-2436,"Side Board Assembly [Two lines Hole] (13 1/2 Width x 23"" Length)",0
231235421,EODA18H-2436,Suction Pipe Assembly,0
230801590B,EODA18H-2436,"Supporting Board (23"") Smaller Panel",0
230803313,EODA18H-2436,Upper Cover Plate,0
231231469,EODA18H-2436 / EODA18H-4860,Block Valve,0
230803381,EODA18H-2436 / EODA18H-4860,Board Assembly (Motor Installation),0
230904010,EODA18H-2436 / EODA18H-4860,Brushless DC Motor (22001-000430),0
COMP_B,EODA18H-2436 / EODA18H-4860,Bushing (Compressor 231235530),0
230803110,EODA18H-2436 / EODA18H-4860,Cap Nut,0
230803293,EODA18H-2436 / EODA18H-4860,Chassis Parts,0
231235268,EODA18H-2436 / EODA18H-4860,Condenser Connection Pipe Assembly,0
3160130008A,EODA18H-2436 / EODA18H-4860,Discharge Temperature Sensor (TD),0
3120290034,EODA18H-2436 / EODA18H-4860,EEV Solenoid Cable - Electronic expansion valve coil (Reversing valve solenoid),0
230803111,EODA18H-2436 / EODA18H-4860,Electrical Installation Bolt,0
230801635,EODA18H-2436 / EODA18H-4860,Fan Blade,0
COMP_G,EODA18H-2436 / EODA18H-4860,Gasket (Compressor 231235530),0
230700850,EODA18H-2436 / EODA18H-4860,"Guide Ring / Leading Flow Circle (24"" Diam)",0
231235159,EODA18H-2436 / EODA18H-4860,High Pressure Sensor (Black) [NSK-BH046D-660] 0-4.6MPa,0
